Domain,Unique Similar Site,fetched_at,title,category,category_rank,total_visits
yahoo.com,cnn.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,washingtonpost.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
yahoo.com,cnbc.com,2024-02-12 09:35:32.405164,yahoo.com,News and Media100%,3B,3B
nashuatelegraph.com,fosters.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
fosters.com,sentinelsource.com,2024-02-12 09:35:34.072353,fosters.com,News and Media100%,531K,531K
fosters.com,wmur.com,2024-02-12 09:35:34.072353,fosters.com,News and Media100%,531K,531K
fosters.com,concordmonitor.com,2024-02-12 09:35:34.072353,fosters.com,News and Media100%,531K,531K
fosters.com,seacoastonline.com,2024-02-12 09:35:34.072353,fosters.com,News and Media100%,531K,531K
fosters.com,laconiadailysun.com,2024-02-12 09:35:34.072353,fosters.com,News and Media100%,531K,531K
nashuatelegraph.com,wmur.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
wmur.com,concordmonitor.com,2024-02-12 09:35:35.780758,wmur.com,News and Media100%,5M,5M
wmur.com,newscentermaine.com,2024-02-12 09:35:35.780758,wmur.com,News and Media100%,5M,5M
wmur.com,seacoastonline.com,2024-02-12 09:35:35.780758,wmur.com,News and Media100%,5M,5M
nashuatelegraph.com,concordmonitor.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
concordmonitor.com,vnews.com,2024-02-12 09:35:37.701567,concordmonitor.com,News and Media100%,117K,117K
concordmonitor.com,patch.com,2024-02-12 09:35:37.701567,concordmonitor.com,News and Media100%,117K,117K
concordmonitor.com,seacoastonline.com,2024-02-12 09:35:37.701567,concordmonitor.com,News and Media100%,117K,117K
concordmonitor.com,nbcnews.com,2024-02-12 09:35:37.701567,concordmonitor.com,News and Media100%,117K,117K
concordmonitor.com,washingtonpost.com,2024-02-12 09:35:37.701567,concordmonitor.com,News and Media100%,117K,117K
concordmonitor.com,laconiadailysun.com,2024-02-12 09:35:37.701567,concordmonitor.com,News and Media100%,117K,117K
nashuatelegraph.com,msn.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
msn.com,nytimes.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,bbc.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,theguardian.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,dailymail.co.uk,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,newsweek.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,cnn.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,foxnews.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
msn.com,cnbc.com,2024-02-12 09:35:39.491036,msn.com,News and Media100%,699M,699M
nashuatelegraph.com,cnn.com,2024-02-12 09:35:29.154081,nashuatelegraph.com,News and Media100%,149K,149K
cnn.com,nytimes.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,bbc.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,washingtonpost.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,msnbc.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,latimes.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,cbsnews.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,nbcnews.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,foxnews.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
cnn.com,reuters.com,2024-02-12 09:35:40.961335,cnn.com,News and Media100%,537M,537M
lowellsun.com,wcvb.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
wcvb.com,wpri.com,2024-02-12 09:35:42.674671,wcvb.com,News and Media95%,8M,8M
wpri.com,abc6.com,2024-02-12 09:35:44.661675,wpri.com,News and Media95%,2M,2M
wpri.com,turnto10.com,2024-02-12 09:35:44.661675,wpri.com,News and Media95%,2M,2M
wpri.com,golocalprov.com,2024-02-12 09:35:44.661675,wpri.com,News and Media95%,2M,2M
wpri.com,providencejournal.com,2024-02-12 09:35:44.661675,wpri.com,News and Media95%,2M,2M
wcvb.com,cbsnews.com,2024-02-12 09:35:42.674671,wcvb.com,News and Media95%,8M,8M
cbsnews.com,nbcnews.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,nytimes.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,washingtonpost.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,msnbc.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,latimes.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,time.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,foxnews.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
cbsnews.com,reuters.com,2024-02-12 09:35:46.355586,cbsnews.com,News and Media100%,86M,86M
wcvb.com,wwlp.com,2024-02-12 09:35:42.674671,wcvb.com,News and Media95%,8M,8M
wwlp.com,aawsat.com,2024-02-12 09:35:47.995917,wwlp.com,News and Media95%,3M,3M
wwlp.com,gazettenet.com,2024-02-12 09:35:47.995917,wwlp.com,News and Media95%,3M,3M
wwlp.com,berkshireeagle.com,2024-02-12 09:35:47.995917,wwlp.com,News and Media95%,3M,3M
wwlp.com,wtnh.com,2024-02-12 09:35:47.995917,wwlp.com,News and Media95%,3M,3M
wwlp.com,westernmassnews.com,2024-02-12 09:35:47.995917,wwlp.com,News and Media95%,3M,3M
lowellsun.com,metrowestdailynews.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
metrowestdailynews.com,wickedlocal.com,2024-02-12 09:35:49.813776,metrowestdailynews.com,News and Media100%,349K,349K
wickedlocal.com,capecodtimes.com,2024-02-12 09:35:51.329278,wickedlocal.com,News and Media100%,449K,449K
wickedlocal.com,salemnews.com,2024-02-12 09:35:51.329278,wickedlocal.com,News and Media100%,449K,449K
wickedlocal.com,tauntongazette.com,2024-02-12 09:35:51.329278,wickedlocal.com,News and Media100%,449K,449K
wickedlocal.com,enterprisenews.com,2024-02-12 09:35:51.329278,wickedlocal.com,News and Media100%,449K,449K
wickedlocal.com,patriotledger.com,2024-02-12 09:35:51.329278,wickedlocal.com,News and Media100%,449K,449K
metrowestdailynews.com,tauntongazette.com,2024-02-12 09:35:49.813776,metrowestdailynews.com,News and Media100%,349K,349K
tauntongazette.com,patriotledger.com,2024-02-12 09:35:53.096119,tauntongazette.com,News and Media100%,135K,135K
tauntongazette.com,milforddailynews.com,2024-02-12 09:35:53.096119,tauntongazette.com,News and Media100%,135K,135K
tauntongazette.com,southcoasttoday.com,2024-02-12 09:35:53.096119,tauntongazette.com,News and Media100%,135K,135K
tauntongazette.com,heraldnews.com,2024-02-12 09:35:53.096119,tauntongazette.com,News and Media100%,135K,135K
tauntongazette.com,enterprisenews.com,2024-02-12 09:35:53.096119,tauntongazette.com,News and Media100%,135K,135K
tauntongazette.com,thesunchronicle.com,2024-02-12 09:35:53.096119,tauntongazette.com,News and Media100%,135K,135K
metrowestdailynews.com,milforddailynews.com,2024-02-12 09:35:49.813776,metrowestdailynews.com,News and Media100%,349K,349K
milforddailynews.com,heraldnews.com,2024-02-12 09:35:54.759496,milforddailynews.com,News and Media100%,"96,358","96,358"
milforddailynews.com,patriotledger.com,2024-02-12 09:35:54.759496,milforddailynews.com,News and Media100%,"96,358","96,358"
milforddailynews.com,enterprisenews.com,2024-02-12 09:35:54.759496,milforddailynews.com,News and Media100%,"96,358","96,358"
metrowestdailynews.com,enterprisenews.com,2024-02-12 09:35:49.813776,metrowestdailynews.com,News and Media100%,349K,349K
enterprisenews.com,patriotledger.com,2024-02-12 09:35:56.368765,enterprisenews.com,News and Media100%,481K,481K
enterprisenews.com,southcoasttoday.com,2024-02-12 09:35:56.368765,enterprisenews.com,News and Media100%,481K,481K
enterprisenews.com,universalhub.com,2024-02-12 09:35:56.368765,enterprisenews.com,News and Media100%,481K,481K
metrowestdailynews.com,patriotledger.com,2024-02-12 09:35:49.813776,metrowestdailynews.com,News and Media100%,349K,349K
lowellsun.com,boston.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
boston.com,bostonmagazine.com,2024-02-12 09:35:59.443052,boston.com,News and Media100%,8M,8M
bostonmagazine.com,thrillist.com,2024-02-12 09:36:01.072387,bostonmagazine.com,News and Media100%,989K,989K
bostonmagazine.com,phillymag.com,2024-02-12 09:36:01.072387,bostonmagazine.com,News and Media100%,989K,989K
bostonmagazine.com,newsweek.com,2024-02-12 09:36:01.072387,bostonmagazine.com,News and Media100%,989K,989K
bostonmagazine.com,universalhub.com,2024-02-12 09:36:01.072387,bostonmagazine.com,News and Media100%,989K,989K
boston.com,sfgate.com,2024-02-12 09:35:59.443052,boston.com,News and Media100%,8M,8M
sfgate.com,nytimes.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
sfgate.com,sfchronicle.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
sfgate.com,kron4.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
sfgate.com,sfist.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
sfgate.com,latimes.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
sfgate.com,mercurynews.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
sfgate.com,washingtonpost.com,2024-02-12 09:36:02.645595,sfgate.com,News and Media100%,28M,28M
lowellsun.com,eagletribune.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
eagletribune.com,newburyportnews.com,2024-02-12 09:36:04.281120,eagletribune.com,News and Media100%,429K,429K
newburyportnews.com,gloucestertimes.com,2024-02-12 09:36:06.015712,newburyportnews.com,News and Media100%,162K,162K
newburyportnews.com,washingtonpost.com,2024-02-12 09:36:06.015712,newburyportnews.com,News and Media100%,162K,162K
newburyportnews.com,salemnews.com,2024-02-12 09:36:06.015712,newburyportnews.com,News and Media100%,162K,162K
newburyportnews.com,theguardian.com,2024-02-12 09:36:06.015712,newburyportnews.com,News and Media100%,162K,162K
eagletribune.com,salemnews.com,2024-02-12 09:36:04.281120,eagletribune.com,News and Media100%,429K,429K
salemnews.com,itemlive.com,2024-02-12 09:36:07.611883,salemnews.com,News and Media100%,252K,252K
salemnews.com,gloucestertimes.com,2024-02-12 09:36:07.611883,salemnews.com,News and Media100%,252K,252K
salemnews.com,universalhub.com,2024-02-12 09:36:07.611883,salemnews.com,News and Media100%,252K,252K
eagletribune.com,gloucestertimes.com,2024-02-12 09:36:04.281120,eagletribune.com,News and Media100%,429K,429K
gloucestertimes.com,southcoasttoday.com,2024-02-12 09:36:09.386868,gloucestertimes.com,News and Media100%,130K,130K
gloucestertimes.com,dailymail.co.uk,2024-02-12 09:36:09.386868,gloucestertimes.com,News and Media100%,130K,130K
gloucestertimes.com,washingtonpost.com,2024-02-12 09:36:09.386868,gloucestertimes.com,News and Media100%,130K,130K
lowellsun.com,bostonglobe.com,2024-02-12 09:35:10.514719,lowellsun.com,News and Media100%,374K,374K
bostonglobe.com,nytimes.com,2024-02-12 09:36:11.043889,bostonglobe.com,News and Media100%,10M,10M
nytimes.com,theguardian.com,2024-02-12 09:36:12.588841,nytimes.com,News and Media100%,636M,636M
nytimes.com,washingtonpost.com,2024-02-12 09:36:12.588841,nytimes.com,News and Media100%,636M,636M
nytimes.com,latimes.com,2024-02-12 09:36:12.588841,nytimes.com,News and Media100%,636M,636M
nytimes.com,nbcnews.com,2024-02-12 09:36:12.588841,nytimes.com,News and Media100%,636M,636M
nytimes.com,foxnews.com,2024-02-12 09:36:12.588841,nytimes.com,News and Media100%,636M,636M
nytimes.com,reuters.com,2024-02-12 09:36:12.588841,nytimes.com,News and Media100%,636M,636M
bostonglobe.com,theatlantic.com,2024-02-12 09:36:11.043889,bostonglobe.com,News and Media100%,10M,10M
theatlantic.com,newrepublic.com,2024-02-12 09:36:14.078630,theatlantic.com,News and Media100%,31M,31M
theatlantic.com,thedailybeast.com,2024-02-12 09:36:14.078630,theatlantic.com,News and Media100%,31M,31M
